catalog,series,nside,delta_disc_mas,cdf
ucac4,before,64,0.9339999999999993,0.04203035667053246
ucac4,before,64,0.9499999999999993,0.04269669779649637
ucac4,before,64,0.9649999999999999,0.043363038922460274
ucac4,before,64,0.9790000000000001,0.04402938004842418
ucac4,before,64,0.9949999999999999,0.04470080774786873
ucac4,before,64,1.0080000000000027,0.045367148873832634
ucac4,before,64,1.025,0.046033489999796534
ucac4,before,64,1.0389999999999997,0.04669983112576044
ucac4,before,64,1.0500000000000007,0.04736617225172435
ucac4,before,64,1.0650000000000013,0.048032513377688255
ucac4,before,64,1.08,0.0487039410771328
ucac4,before,64,1.0949999999999989,0.04937028220309671
ucac4,before,64,1.1090000000000004,0.050036623329060614
ucac4,before,64,1.1239999999999997,0.050702964455024514
ucac4,before,64,1.1400000000000006,0.05136930558098842
ucac4,before,64,1.1559999999999997,0.05203564670695233
ucac4,before,64,1.17,0.052701987832916235
ucac4,before,64,1.1869999999999994,0.05337341553236078
ucac4,before,64,1.2029999999999994,0.05403975665832469
ucac4,before,64,1.218,0.054706097784288595
ucac4,before,64,1.2319999999999993,0.055372438910252494
ucac4,before,64,1.2460000000000022,0.0560387800362164
ucac4,before,64,1.2620000000000005,0.05670512116218031
ucac4,before,64,1.2799999999999994,0.057371462288144215
ucac4,before,64,1.2939999999999996,0.05804288998758876
ucac4,before,64,1.3099999999999998,0.05870923111355267
ucac4,before,64,1.3250000000000002,0.059375572239516575
ucac4,before,64,1.3419999999999996,0.060041913365480475
ucac4,before,64,1.3570000000000002,0.06070825449144438
ucac4,before,64,1.3729999999999993,0.06137459561740829
ucac4,before,64,1.3870000000000005,0.062046023316852834
ucac4,before,64,1.4049999999999976,0.06271236444281673
ucac4,before,64,1.4190000000000005,0.06337870556878064
ucac4,before,64,1.4329999999999998,0.06404504669474455
ucac4,before,64,1.447,0.06471138782070845
ucac4,before,64,1.4609999999999999,0.06537772894667236
ucac4,before,64,1.4769999999999994,0.06604407007263627
ucac4,before,64,1.4930000000000003,0.06671549777208081
ucac4,before,64,1.5090000000000003,0.06738183889804472
ucac4,before,64,1.5239999999999974,0.06804818002400863
ucac4,before,64,1.5409999999999995,0.06871452114997254
ucac4,before,64,1.5559999999999998,0.06938086227593644
ucac4,before,64,1.5690000000000008,0.07004720340190035
ucac4,before,64,1.5839999999999996,0.07071354452786426
ucac4,before,64,1.597,0.0713849722273088
ucac4,before,64,1.612,0.0720513133532727
ucac4,before,64,1.6269999999999998,0.0727176544792366
ucac4,before,64,1.6419999999999995,0.07338399560520051
ucac4,before,64,1.6560000000000001,0.07405033673116442
ucac4,before,64,1.6729999999999996,0.07471667785712832
ucac4,before,64,1.6869999999999998,0.07538810555657287
ucac4,before,64,1.7009999999999996,0.07605444668253677
ucac4,before,64,1.7149999999999999,0.07672078780850068
ucac4,before,64,1.7299999999999986,0.07738712893446459
ucac4,before,64,1.7449999999999992,0.0780534700604285
ucac4,before,64,1.758,0.0787198111863924
ucac4,before,64,1.774000000000001,0.07938615231235631
ucac4,before,64,1.79,0.08005758001180086
ucac4,before,64,1.8039999999999998,0.08072392113776476
ucac4,before,64,1.8199999999999985,0.08139026226372865
ucac4,before,64,1.8330000000000002,0.08205660338969256
ucac4,before,64,1.8500000000000014,0.08272294451565647
ucac4,before,64,1.8649999999999993,0.08338928564162038
ucac4,before,64,1.8779999999999966,0.08405562676758428
ucac4,before,64,1.8949999999999996,0.08472705446702883
ucac4,before,64,1.9100000000000001,0.08539339559299274
ucac4,before,64,1.9249999999999998,0.08605973671895664
ucac4,before,64,1.939,0.08672607784492055
ucac4,before,64,1.9549999999999983,0.08739241897088446
ucac4,before,64,1.9690000000000012,0.08805876009684836
ucac4,before,64,1.9850000000000003,0.08873018779629291
ucac4,before,64,1.998000000000001,0.08939652892225682
ucac4,before,64,2.016,0.09006287004822072
ucac4,before,64,2.0330000000000004,0.09072921117418463
ucac4,before,64,2.048,0.09139555230014852
ucac4,before,64,2.0629999999999997,0.09206189342611243
ucac4,before,64,2.077,0.09272823455207634
ucac4,before,64,2.0939999999999994,0.09339966225152088
ucac4,before,64,2.109,0.09406600337748479
